user_id,age,gender,device_type,time_on_site,pages_viewed,previous_purchases,ad_clicked,returning_user,avg_session_time,bounce_rate,purchase,Is_Buyer,discount_seen,Customer_Behvaiour_By_Discount,cart_items,Customer_Behaviour_By_Cart_Item
1,56,Female,Desktop,12.9,8,13,0,0,6.97,28.18,1,Yes,1,Right_Discount,1,Interested
2,46,Male,Mobile,15.63,9,4,1,1,19.17,86.73,1,Yes,1,Right_Discount,6,Interested
3,32,Female,Unknown,11.64,12,11,0,1,8.87,83.09,1,Yes,0,Others,0,Technical Error
4,25,Female,Mobile,22.71,5,10,0,1,0,79.03,1,Yes,0,Others,1,Interested
5,38,Female,Mobile,26.35,9,12,0,0,18.15,55.35,1,Yes,1,Right_Discount,4,Interested
6,56,Female,Desktop,26.6,1,12,1,0,28.4,13.9,1,Yes,1,Right_Discount,7,Interested
7,36,Male,Mobile,7.6,11,11,1,1,4.51,13.12,1,Yes,1,Right_Discount,6,Interested
8,40,Female,Mobile,26.98,7,5,0,0,33.34,12.61,1,Yes,1,Right_Discount,2,Interested
9,28,Female,Mobile,10.9,14,7,0,1,13.8,85.46,1,Yes,0,Others,9,Interested
10,28,Female,Mobile,9.97,3,14,0,0,14.12,14.16,1,Yes,0,Others,8,Interested
11,41,Female,Tablet,22.08,11,14,1,0,23.43,80.85,1,Yes,1,Right_Discount,4,Interested
12,53,Female,Mobile,9.84,17,6,0,0,5.97,84.47,1,Yes,1,Right_Discount,2,Interested
13,57,Male,Desktop,2.54,18,6,0,1,3.37,10.5,1,Yes,0,Others,6,Interested
14,41,Male,Desktop,11.83,19,0,1,1,9.63,90.2,1,Yes,1,Right_Discount,3,Interested
15,20,Female,Desktop,21.92,18,2,0,0,30.68,89.75,1,Yes,1,Right_Discount,0,Technical Error
16,39,Male,Mobile,10.48,6,2,1,0,15.49,63.82,1,Yes,0,Others,4,Interested
17,0,Male,Desktop,19.26,15,6,0,0,12.18,51.3,1,Yes,0,Others,7,Interested
18,41,Female,Mobile,20.14,7,11,0,0,11.74,64.73,1,Yes,1,Right_Discount,3,Interested
19,47,Female,Desktop,22.28,5,13,0,1,31.14,40.48,1,Yes,1,Right_Discount,6,Interested
20,55,Female,Mobile,27.02,5,1,0,0,37.8,58.87,1,Yes,1,Right_Discount,7,Interested
21,19,Male,Mobile,0,7,9,0,0,14.69,96.95,1,Yes,0,Others,8,Interested
22,38,Female,Mobile,5.83,12,6,1,0,8.09,11.33,1,Yes,1,Right_Discount,8,Interested
23,50,Male,Desktop,10.25,8,8,0,0,14.66,23.38,1,Yes,0,Others,4,Interested
24,29,Male,Mobile,13.53,18,0,0,1,14.28,52.41,1,Yes,1,Right_Discount,5,Interested
25,39,Male,Mobile,21.7,18,11,0,1,25.75,25.86,1,Yes,1,Right_Discount,6,Interested
26,42,Female,Mobile,1.38,17,13,0,1,1.54,99.28,1,Yes,0,Others,9,Interested
27,0,Male,Tablet,10.16,11,1,1,1,6.85,72.03,1,Yes,0,Others,1,Interested
